,sj_div,bsns_de,account_id,account_nm,label_kor,label_eng,ifrs_ref,data_tp
30,IS1,20180701,dart_RevenueContributionToConstruction,RevenueContributionToConstruction,공사부담금수익,Revenue contribution to construction,"K-IFRS 1001 문단 82 (1), K-IFRS 1001 문단 85",X
31,IS1,20180701,ifrs_RevenueFromRoyalties,RevenueFromRoyalties,로열티수익(매출액),Revenue(Sales) from royalties,"K-IFRS 1001 문단 82 (1), K-IFRS 1001 문단 85",X
32,IS1,20180701,ifrs_RevenueFromInterest,RevenueFromInterest,이자수익(매출액),Revenue(Sales) from interest,"K-IFRS 1001 문단 82 (1), K-IFRS 1001 문단 85",X
33,IS1,20180701,ifrs_InterestRevenueCalculatedUsingEffectiveInterestMethod,InterestRevenueCalculatedUsingEffectiveInterestMethod,유효이자율법 계산 이자수익,Interest revenue calculated using effective interest method,K-IFRS 1001 문단 82 (1),X
34,IS1,20180701,ifrs_RevenueFromDividends,RevenueFromDividends,배당수익(매출액),Revenue(Sales) from dividends,"K-IFRS 1001 문단 82 (1), K-IFRS 1001 문단 85",X
35,IS1,20180701,dart_RevenueGovernmentGrant,RevenueGovernmentGrant,정부보조금수익(매출액),Revenue government grant,"K-IFRS 1001 문단 82 (1), K-IFRS 1001 문단 85",X
36,IS1,20180701,ifrs_OtherRevenue,OtherRevenue,기타수익(매출액),Other revenue(Sales),"K-IFRS 1001 문단 82 (1), K-IFRS 1001 문단 85",X
37,IS1,20180701,ifrs_CostOfSales,CostOfSales,매출원가,Cost of sales,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",(X)
38,IS1,20180701,dart_CostOfSalesFromSaleOfGoods,CostOfSalesFromSaleOfGoods,재화의 판매로 인한 수익(매출액)에 대한 매출원가,Cost of sales from sale of goods,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
39,IS1,20180701,dart_CostOfSalesFromSaleOfGoodsProduct,CostOfSalesFromSaleOfGoodsProduct,제품매출원가,Cost of sales from sale of goods product,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
40,IS1,20180701,dart_CostOfSalesFromSaleOfGoodsMerchandises,CostOfSalesFromSaleOfGoodsMerchandises,상품매출원가,Cost of sales from sale of goods merchandises,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
41,IS1,20180701,dart_CostOfSalesFromSaleOfGoodsRawMaterial,CostOfSalesFromSaleOfGoodsRawMaterial,원재료매출원가,Cost of sales from sale of goods raw material,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
42,IS1,20180701,dart_CostOfSalesFromSaleOfGoodsFishing,CostOfSalesFromSaleOfGoodsFishing,어획물매출원가,Cost of sales from sale of goods fishing,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
43,IS1,20180701,dart_CostOfSalesFromSaleOfGoodsTire,CostOfSalesFromSaleOfGoodsTire,타이어매출원가,Cost of sales from sale of goods tire,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
44,IS1,20180701,dart_CostOfSalesFromRenderingOfServices,CostOfSalesFromRenderingOfServices,용역의 제공으로 인한 수익(매출액)에 대한 매출원가,Cost of sales from rendering of services,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
45,IS1,20180701,dart_CostOfSalesFromServices,CostOfSalesFromServices,용역매출원가,Cost of sales from services,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
46,IS1,20180701,dart_CostOfSalesFromRenderingOfServicesGames,CostOfSalesFromRenderingOfServicesGames,게임매출원가,Cost of sales from rendering of services games,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
47,IS1,20180701,dart_CostOfSalesFromRenderingOfServicesEducationBusiness,CostOfSalesFromRenderingOfServicesEducationBusiness,교육사업매출원가,Cost of sales from rendering of services education business,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
48,IS1,20180701,dart_CostOfSalesFromRenderingOfServicesFinanceBusiness,CostOfSalesFromRenderingOfServicesFinanceBusiness,금융업매출원가,Cost of sales from rendering of services finance business,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
49,IS1,20180701,dart_CostOfSalesFromSaleOfGoodsGasRecharge,CostOfSalesFromSaleOfGoodsGasRecharge,가스충전매출원가,Cost of sales from sale of goods gas recharge,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
50,IS1,20180701,dart_CostOfSalesFromRenderingOfServicesBroadcastBusiness,CostOfSalesFromRenderingOfServicesBroadcastBusiness,방송사업원가,Cost of sales from rendering of services broadcast business,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
51,IS1,20180701,dart_CostOfSalesFromRenderingOfServicesBroadcastProgram,CostOfSalesFromRenderingOfServicesBroadcastProgram,방송프로그램 매출원가,Cost of sales from rendering of services broadcast program,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
52,IS1,20180701,dart_CostOfSalesFromRenderingOfServicesDistribution,CostOfSalesFromRenderingOfServicesDistribution,물류매출원가/유통매출원가,Cost of sales from rendering of services distribution,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
53,IS1,20180701,dart_CostOfSalesFromRenderingOfServicesRental,CostOfSalesFromRenderingOfServicesRental,임대매출원가/임대수익원가,Cost of sales from rendering of services rental,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
54,IS1,20180701,dart_CostOfSalesFromRenderingOfServicesProcession,CostOfSalesFromRenderingOfServicesProcession,임가공매출원가,Cost of sales from rendering of services procession,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
55,IS1,20180701,dart_CostOfSalesFromRenderingOfServicesMovieShow,CostOfSalesFromRenderingOfServicesMovieShow,영화상영원가,Cost of sales from rendering of services movie show,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
56,IS1,20180701,dart_CostOfSalesFromSaleOfGoodsFood,CostOfSalesFromSaleOfGoodsFood,외식사업매출원가,Cost of sales from sale of goods food,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
57,IS1,20180701,dart_CostOfSalesFromRenderingOfServicesTransportation,CostOfSalesFromRenderingOfServicesTransportation,운송매출원가,Cost of sales from rendering of services transportation,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
58,IS1,20180701,dart_CostOfSalesFromRenderingOfServicesMaintenance,CostOfSalesFromRenderingOfServicesMaintenance,정비매출원가,Cost of sales from rendering of services maintenance,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
59,IS1,20180701,dart_CostOfSalesFromRenderingOfServicesCommission,CostOfSalesFromRenderingOfServicesCommission,수수료매출원가,Cost of sales from rendering of services commission,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
60,IS1,20180701,dart_CostOfSalesFromRenderingOfServicesEducationInstitute,CostOfSalesFromRenderingOfServicesEducationInstitute,학원매출원가,Cost of sales from rendering of services education institute,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
61,IS1,20180701,dart_CostOfRevenueNaturalResourcesExploration,CostOfRevenueNaturalResourcesExploration,해외자원개발원가,Cost of revenue natural resources exploration,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
62,IS1,20180701,dart_CostOfRevenueHotelService,CostOfRevenueHotelService,호텔매출원가,Cost of revenue hotel service,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
63,IS1,20180701,dart_CostOfSalesFromConstructionContracts,CostOfSalesFromConstructionContracts,건설계약으로 인한 수익(매출액)에 대한 매출원가,Cost of sales from construction contracts,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
64,IS1,20180701,dart_CostOfSalesFromConstruction,CostOfSalesFromConstruction,공사매출원가,Cost of sales from construction,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
65,IS1,20180701,dart_CostOfSalesFromSaleOfGoodsRealEstate,CostOfSalesFromSaleOfGoodsRealEstate,분양매출원가,Cost of sales from sale of goods real estate,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
66,IS1,20180701,dart_CostOfSalesFromRoyalties,CostOfSalesFromRoyalties,로열티수익(매출액)에 대한 매출원가,Cost of sales from royalties,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
67,IS1,20180701,dart_CostOfSalesFromInterest,CostOfSalesFromInterest,이자수익(매출액)에 대한 매출원가,Cost of sales from interest,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
68,IS1,20180701,dart_CostOfSalesFromDividends,CostOfSalesFromDividends,배당수익(매출액)에 대한 매출원가,Cost of sales from dividends,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
69,IS1,20180701,dart_OtherCostOfSales,OtherCostOfSales,기타수익(매출액)에 대한 매출원가,Other cost of sales,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86",X
70,IS1,20180701,ifrs_GrossProfit,GrossProfit,매출총이익,Gross profit,K-IFRS 1001 문단 103,X
71,IS1,20180701,dart_TotalSellingGeneralAdministrativeExpenses,TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",(X)
72,IS1,20180701,dart_SalariesWages,SalariesWages,급여,Salaries wages,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
73,IS1,20180701,dart_Bonus,Bonus,상여,Bonus,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
74,IS1,20180701,dart_ProvisionForSeveranceIndemnities,ProvisionForSeveranceIndemnities,퇴직급여,Provision for severance indemnities,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
75,IS1,20180701,dart_TerminationBenefits,TerminationBenefits,해고급여,Termination benefits,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
76,IS1,20180701,dart_EmployeeBenefits,EmployeeBenefits,복리후생비,Employee benefits,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
77,IS1,20180701,dart_InsurancePremiums,InsurancePremiums,보험료,Insurance premiums,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
78,IS1,20180701,dart_DepreciationExpense,DepreciationExpense,감가상각비,Depreciation expense,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
79,IS1,20180701,dart_AmortisationExpense,AmortisationExpense,무형자산상각비,Amortisation expense,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
80,IS1,20180701,dart_BadDebtExpenses,BadDebtExpenses,대손상각비(대손충당금환입),Bad debt expenses(Reversal Allowance Doubtful Accounts),"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
81,IS1,20180701,dart_Commissions,Commissions,지급수수료,Commissions,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
82,IS1,20180701,dart_AdvertisingExpenses,AdvertisingExpenses,광고선전비,Advertising expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
83,IS1,20180701,dart_TrainingExpenses,TrainingExpenses,교육훈련비,Training Expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
84,IS1,20180701,dart_VehicleMaintenanceExpenses,VehicleMaintenanceExpenses,차량유지비,Vehicle maintenance expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
85,IS1,20180701,dart_PublicationExpenses,PublicationExpenses,도서인쇄비,Publication expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
86,IS1,20180701,dart_EntertainmentExpenses,EntertainmentExpenses,접대비,Entertainment expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
87,IS1,20180701,dart_RentalExpenses,RentalExpenses,임차료,Rental expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
88,IS1,20180701,dart_CommunicationExpenses,CommunicationExpenses,통신비,Communication expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
89,IS1,20180701,dart_FreightExpenses,FreightExpenses,운반비,Freight expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
90,IS1,20180701,dart_TaxesDues,TaxesDues,세금과공과,Taxes dues,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
91,IS1,20180701,dart_SupplyExpenses,SupplyExpenses,소모품비,Supply expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
92,IS1,20180701,dart_UtilityExpenses,UtilityExpenses,수도광열비,Utility expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
93,IS1,20180701,dart_RepairExpenses,RepairExpenses,수선비,Repair expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
94,IS1,20180701,dart_OrdinaryDevelopmentExpense,OrdinaryDevelopmentExpense,경상개발비,Ordinary development expense,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
95,IS1,20180701,dart_TravelExpenses,TravelExpenses,여비교통비,Travel expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
96,IS1,20180701,dart_AfterServiceExpenses,AfterServiceExpenses,A/S비용,After service expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
97,IS1,20180701,dart_BuildingMaintenanceExpenses,BuildingMaintenanceExpenses,건물관리비,Building maintenance expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
98,IS1,20180701,dart_SamplesExpenses,SamplesExpenses,견본품비,Samples expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
99,IS1,20180701,dart_ContractCancellationExpenses,ContractCancellationExpenses,계약해지손실,Contract cancellation expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
100,IS1,20180701,dart_PollutionControlExpenses,PollutionControlExpenses,공해방지비,Pollution control expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
101,IS1,20180701,dart_LeaseExpenses,LeaseExpenses,리스료,Lease Expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
102,IS1,20180701,dart_ImpairmentLossRecoveryOfAccountsReceivables,ImpairmentLossRecoveryOfAccountsReceivables,매출채권손상차손(환입),Impairment loss recovery of accounts receivables,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
103,IS1,20180701,dart_AdministrativeExpensesForUnsoldHouseAndOffice,AdministrativeExpensesForUnsoldHouseAndOffice,미분양주택관리비,Administrative expenses for unsold house and office,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
104,IS1,20180701,dart_ReturnedGoodsExpenses,ReturnedGoodsExpenses,반품비용,Returned goods expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
105,IS1,20180701,dart_WarehouseExpenses,WarehouseExpenses,보관료,Warehouse expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
106,IS1,20180701,dart_CompensationExpenses,CompensationExpenses,보상비,Compensation expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
107,IS1,20180701,dart_HouseAndOfficeSalesAgentExpenses,HouseAndOfficeSalesAgentExpenses,분양대행수수료,House and office sales agent expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
108,IS1,20180701,dart_RecruitExpenses,RecruitExpenses,사원모집비,Recruit expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
109,IS1,20180701,dart_WorkersAccidentCompensationInsuranceExpenses,WorkersAccidentCompensationInsuranceExpenses,산재보험료,Workers accident compensation insurance expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
110,IS1,20180701,dart_RevaluationLossOfBiologicalAsset,RevaluationLossOfBiologicalAsset,생물자산평가손실,Revaluation loss of biological asset,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
111,IS1,20180701,dart_LitigationExpenses,LitigationExpenses,송무비,Litigation expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
112,IS1,20180701,dart_OrderGettingExpenses,OrderGettingExpenses,수주비,Order getting expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
113,IS1,20180701,dart_ExperimentalResearchExpenses,ExperimentalResearchExpenses,시험비,Experimental research expenses,"K-IFRS 1001 문단 103, K-IFRS 1001 문단 85, K-IFRS 1001 문단 86 K-IFRS 1001 문단 한138.2, K-IFRS 1001 문단 한138.3",X
