,sj_div,bsns_de,account_id,account_nm,label_kor,label_eng,ifrs_ref,data_tp
254,BS1,20180701,dart_UtilityModelRightsGross,UtilityModelRightsGross,실용신안권,"Utility model rights, gross","K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 118",X
255,BS1,20180701,dart_GovernmentGrantsUtilityModelRightsGross,GovernmentGrantsUtilityModelRightsGross,정부보조금,"Government grants, utility model rights","K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 122 (4)",(X)
256,BS1,20180701,dart_AccumulatedDepreciationUtilityModelRightsGross,AccumulatedDepreciationUtilityModelRightsGross,감가상각누계액,Accumulated depreciation utility model rights,"K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 118",(X)
257,BS1,20180701,dart_AccumulatedImpairmentLossUtilityModelRightsGross,AccumulatedImpairmentLossUtilityModelRightsGross,손상차손누계액,"Accumulated impairment loss, utility model rights","K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 118",(X)
258,BS1,20180701,dart_TelexAndTelephoneSubscriptionRights,TelexAndTelephoneSubscriptionRights,전신전화가입권,Telex and telephone subscription rights,"K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 118",X
259,BS1,20180701,dart_GovernmentGrantsTelexAndTelephoneSubscriptionRights,GovernmentGrantsTelexAndTelephoneSubscriptionRights,정부보조금,"Government grants, telex and telephone subscription rights","K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 122 (4)",(X)
260,BS1,20180701,dart_AccumulatedDepreciationTelexAndTelephoneSubscriptionRights,AccumulatedDepreciationTelexAndTelephoneSubscriptionRights,감가상각누계액,"Accumulated depreciation, telex and telephone subscription rights","K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 118",(X)
261,BS1,20180701,dart_AccumulatedImpairmentLossTelexAndTelephoneSubscriptionRights,AccumulatedImpairmentLossTelexAndTelephoneSubscriptionRights,손상차손누계액,"Accumulated impairment loss, telex and telephone subscription rights","K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 118",(X)
262,BS1,20180701,dart_FinishedProgramGross,FinishedProgramGross,완성프로그램,Finished program,"K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 118",X
263,BS1,20180701,dart_GovernmentGrantsFinishedProgramGross,GovernmentGrantsFinishedProgramGross,정부보조금,"Government grants, finished program","K-IFRS 1001 문단 54 (3),K-IFRS 1038 문단 122 (4)",(X)
